Year,Birth_rate,CO2_emissions,Death_rate,Electric_power_consumption,Energy_use,Food_exports,Food_imports,Goods_services_exports,Goods_services_imports,Population_density,GDP
1990-01-01,-0.2645214211262935,0.4010216784979835,0.552914168596102,0.39815403077957745,0.5782230897900178,-0.20389202810100557,-0.5461722249386447,-0.41702675989173005,-0.37902299169620735,0.33178936320677055,0.06835398638344548
1991-01-01,-0.39387327580858533,0.40547327530610805,0.6746689395946328,0.4182798008206278,0.5715725301152916,-0.08390369523905629,-0.4004643708083174,-0.45293900183436,-0.6547338403157232,0.38006265025119834,0.11614255758993416
1992-01-01,-0.499535691988016,0.10387759155563417,0.2325068764947081,0.39378795337706396,0.37803676580734347,0.15973673637375635,-0.34700500453183225,-0.47053359016866864,-0.2643064211122008,0.4386674895043978,0.23367416253508239
1993-01-01,-0.6157267475020514,-0.053041195930774304,0.6490363562265241,0.3698947428830229,0.3455110725472385,0.029673047317292145,-0.3373077241374927,-0.9099162550103758,-1.8357930783737912,0.5027943652829732,0.10759542334618448
1994-01-01,-0.7492148533515098,-0.199943890598901,0.04026250123386956,0.40188035414290346,0.2982065947069716,-0.09855875879471421,-0.32785909195839336,0.8712345366408674,0.6545124747206854,0.5535614752743447,0.18823243270972473
1995-01-01,-0.8691661371993327,-0.07307338156733587,0.2901801890729614,0.49357216099463125,0.49894091286611336,-0.2753354629348381,-0.4412426781075898,0.8280916419581106,0.5915052673923485,0.5943532934779384,0.40950623932490926
1996-01-01,-0.8687901143659541,0.15952255165719822,0.22289465773166592,0.5947132325711282,0.738401574344388,-0.3774629370883286,-0.5011668979803011,-0.03645340400305437,-0.016622916442186473,0.6294449449456594,0.4454062720263151
1997-01-01,-0.8811988678674528,-0.0686217847592113,-0.12314521773784237,0.6331730432036102,0.6518440817391231,-0.6847613010210308,-0.6739774075717301,1.1782962563382533,0.9858434787748712,0.663467815150404,0.35343164625640494
1998-01-01,-0.935722178707373,-0.06973468396124194,-0.11673707189581232,0.6966864025384635,0.682666088824138,-0.8001699265218363,-0.7341502756596807,0.24433694407187098,1.0136535564922062,0.6949968624082022,0.40623440941704764
1999-01-01,-0.9642999140441579,-0.25225015309437016,-0.17761445739507778,0.7556817603089914,0.6070727442943585,-0.9448886791339584,-0.8539987154051036,-0.06802725430160826,0.39075126887033695,0.733294857664852,0.4037350717311851
2000-01-01,-0.9360982015407515,-0.2288792698517137,-0.8536738437290221,0.8602076743346513,0.6431081590115331,-1.5191839822213022,-1.2075764774756244,1.7485537357762566,1.4036464432313953,0.607178668633654,0.29076751100478004
2001-01-01,-1.0252156130515166,-0.04858959912264775,-1.177285208751428,0.9463549461800909,0.8056747893933135,-1.4266738935262118,-1.0909604645283146,-0.4707746119266728,-0.593899295309053,0.6431609711538544,0.3070876188205571
2002-01-01,-1.0504091428878934,-0.12537964406280602,-0.9113471563072697,0.9951260866206475,0.7753325437468406,-1.3254623608449494,-1.007911960638333,-0.8077230296165833,-0.8315885532994001,0.7008751593545719,0.4426464893386078
2003-01-01,-1.02709572721841,0.007055360978914342,-0.4083077077080795,1.0779561152999322,0.906567553782221,-1.2824131116502044,-1.0024416999030648,-0.9511309756290988,-0.4439855951140444,0.7746210664999339,0.7985468367663293
2004-01-01,-0.9834770785464746,-0.009638127051553298,-1.8982016159795656,1.1453296027644766,0.9554648395984489,-1.4413289570818697,-1.1130901556846273,0.5870698839538828,0.4835239500055089,0.858164135222577,1.1069712804657532
2005-01-01,-0.9894934438805346,-0.08197657518358699,-1.3951621673803754,1.1890983962624573,0.9500168819296684,-1.451862284012499,-1.1451657754505185,0.1002059327853428,0.2306260557634944,0.9417072039452226,1.2129311855083187
2006-01-01,-0.9379783157076449,-0.04413800231452318,-1.962283074399849,1.2352861290523964,0.9510254470871371,-1.5549056996382185,-1.2461169508377417,0.9107621049535607,0.8541801420818637,1.02329084035241,1.3739714544291315
2007-01-01,-0.9075204662039659,-0.23221796745780762,-1.7283857511658294,1.2419903053671892,0.7908320366213464,-1.4596477865264421,-1.1824630077364384,0.14792824087017978,0.20716130268949293,1.1052307371805885,1.773621223127624
2008-01-01,-0.8123866893591406,-0.4614752030762478,-1.5617739592731053,1.236698744997312,0.7303778308189013,-1.2613464577889466,-1.0830037216406518,-1.0566985056349505,-0.9615137601350742,1.187526894429761,1.9977492466848683
2009-01-01,-0.8736784111998779,-1.181520986790477,-1.6418757822984493,1.0048840779678132,0.2760437485193788,-0.7575786480632055,-0.7550367257397962,-4.177689250031696,-3.669954610324896,1.2464879941039517,1.6583088231597565
2010-01-01,-0.8740544340332564,-0.9600540455862552,-1.7027531677977148,1.1731414809734952,0.5348505234727373,-0.9925176356898462,-0.9494796300570587,1.1645580161320126,0.8700405770300312,1.2862110310445691,1.6427879027615548
2011-01-01,-0.9767086675456573,-1.268327124548916,-1.8629568138484145,1.0900954133485161,0.2555440753187329,-0.8523785904388679,-0.886322983386234,0.2525316838440147,-0.2527913108073669,1.2746325673623267,1.870554314630922
2012-01-01,-1.013558905216775,-1.4475038960759492,-1.0683467294369573,1.0879517494873618,0.18587205307709614,-0.7667380627854923,-0.8311230796030726,-0.8253176179508919,-1.2945828940465935,1.3369781410359407,1.6940753798832788
2013-01-01,-1.1395265543986586,-1.6300193652090775,-1.1901015004354882,1.031036637693929,0.08580021381636038,-0.6000367148398833,-0.7048097862614241,-0.8142306170826973,-0.7937842289023979,1.3932672875526906,1.816891632482767
2014-01-01,-1.107564613561464,-2.047356565970802,-1.677120584429606,0.9214184766482908,-0.19328021339326365,-0.6133178661871983,-0.7095341023509735,-0.22854774513242382,-0.057686234321688845,1.460422376909698,1.9196868220897225
